DATE,IPGMFN
1988-01-01,55.6556
1988-02-01,56.8482
1988-03-01,57.528
1988-04-01,57.7532
1988-05-01,57.8484
1988-06-01,59.2211
1988-07-01,55.8901
1988-08-01,57.8103
1988-09-01,59.1313
1988-10-01,59.4942
1988-11-01,58.3126
1988-12-01,57.2374
1989-01-01,57.923
1989-02-01,58.3753
1989-03-01,58.3446
1989-04-01,59.2339
1989-05-01,58.3374
1989-06-01,59.7614
1989-07-01,55.6522
1989-08-01,58.4195
1989-09-01,59.2269
1989-10-01,59.1576
1989-11-01,57.9101
1989-12-01,56.7209
1990-01-01,56.5853
1990-02-01,58.4299
1990-03-01,59.3086
1990-04-01,58.3268
1990-05-01,59.2569
1990-06-01,60.8095
1990-07-01,57.3788
1990-08-01,59.7221
1990-09-01,60.7478
1990-10-01,60.1876
1990-11-01,58.1363
1990-12-01,56.462
1991-01-01,56.1246
1991-02-01,56.6439
1991-03-01,56.3984
1991-04-01,57.0263
1991-05-01,57.3746
1991-06-01,59.2865
1991-07-01,56.0803
1991-08-01,58.629
1991-09-01,60.0443
1991-10-01,59.9632
1991-11-01,58.3261
1991-12-01,56.8112
1992-01-01,56.7247
1992-02-01,58.3702
1992-03-01,59.731
1992-04-01,59.3157
1992-05-01,60.1775
1992-06-01,61.6574
1992-07-01,58.5372
1992-08-01,61.0034
1992-09-01,61.6645
1992-10-01,62.322
1992-11-01,61.2842
1992-12-01,59.8677
1993-01-01,60.1434
1993-02-01,61.5911
1993-03-01,62.2015
1993-04-01,61.7912
1993-05-01,62.191
1993-06-01,63.4219
1993-07-01,59.9036
1993-08-01,62.5272
1993-09-01,63.6763
1993-10-01,64.3583
1993-11-01,63.3199
1993-12-01,62.2077
1994-01-01,62.1913
1994-02-01,63.5863
1994-03-01,65.2952
1994-04-01,65.1551
1994-05-01,65.8574
1994-06-01,67.5605
1994-07-01,63.6069
1994-08-01,67.2604
1994-09-01,68.5846
1994-10-01,69.208
1994-11-01,68.3633
1994-12-01,67.6184
1995-01-01,67.3702
1995-02-01,68.7736
1995-03-01,69.989
1995-04-01,68.3516
1995-05-01,69.139
1995-06-01,71.3106
1995-07-01,66.6283
1995-08-01,70.5185
1995-09-01,72.3937
1995-10-01,71.9644
1995-11-01,70.6974
1995-12-01,69.5588
1996-01-01,68.4772
1996-02-01,71.1102
1996-03-01,72.0649
1996-04-01,71.7288
1996-05-01,72.5292
1996-06-01,75.2858
1996-07-01,70.8053
